Date,Close,High,Low,Open,Volume,MA7,MA30,Daily Change,Daily Return
10/16/2023,176.4871063,176.8426092,174.304711,174.5417179,52517000,176.7565722,174.4021703,1.945388387,-0.072693198
10/17/2023,174.9367676,176.190905,172.6161364,174.4430143,57549400,176.7086116,173.989065,0.493753242,-0.878443064
10/18/2023,173.6431122,175.3613786,172.9222368,173.386366,54764400,176.2642343,173.7563431,0.256746225,-0.739498856
10/19/2023,173.2678528,175.6181074,173.0012219,173.8405931,59302900,175.8508911,173.6872172,-0.572740363,-0.216109579
10/20/2023,170.7200928,173.2283521,170.4830858,173.1197258,64244000,174.8746708,173.5127579,-2.39963306,-1.470417027
10/23/2023,170.8385925,171.8359685,167.8069409,168.7747079,55980100,173.7870026,173.3034063,2.063884582,0.069411722
10/24/2023,171.2731018,171.500224,169.3079588,170.8879749,43816600,173.0238037,173.2092641,0.385126869,0.254339064
10/25/2023,168.962326,170.8978299,168.5179362,169.7325797,57157000,171.9488351,173.1068924,-0.770253673,-1.349176101
10/26/2023,164.8049164,169.2388248,163.6001576,168.2414339,70625300,170.5014278,172.8155782,-3.436517508,-2.460554234
10/27/2023,166.1183167,166.8490768,164.7456834,164.8246858,58499100,169.426457,172.5920731,1.293630886,0.796942408
10/30/2023,168.1624298,169.0314401,166.7601728,166.9083077,51131000,168.6971109,172.33927,1.254122067,1.230516418
10/31/2023,168.6364441,168.7648097,165.8022909,167.234187,44846000,168.3994468,172.0660599,1.402257047,0.281878826
11/1/2023,171.796463,172.0532092,167.9945579,168.8635683,56934900,168.5362854,172.0160263,2.932894759,1.873864773
11/2/2023,175.3514709,175.5588388,173.2678324,173.3270804,77334800,169.1189096,172.1358434,2.024390583,2.06931381
11/3/2023,174.4429779,174.6108672,171.1842192,172.0630992,79829200,169.9018598,172.1970693,2.379878677,-0.51809833
11/6/2023,176.9907532,177.1882514,174.0084949,174.1763692,63841300,171.6426937,172.3007573,2.814383966,1.460520394
11/7/2023,179.5484009,180.16065,176.7340019,176.9413698,70530000,173.5612771,172.6253174,2.607031071,1.445074197
11/8/2023,180.6050568,181.158058,179.3212953,180.0718099,49340300,175.3387953,173.0354624,0.533246861,0.588507544
11/9/2023,180.1310272,181.8196546,179.5385174,180.6741587,53763500,176.9808786,173.4212489,-0.543131477,-0.26246748
11/10/2023,184.3136902,184.4818007,181.4758178,181.9108955,66133400,178.7690539,173.9293396,2.402794699,2.322011387
11/13/2023,182.7315826,183.9478113,182.14819,183.7401703,43627500,179.8233555,174.3010854,-1.008587619,-0.858377662
11/14/2023,185.342041,186.0045401,184.2148013,185.5991255,60108400,181.3803646,174.8042837,-0.257084464,1.428575365
11/15/2023,185.9056396,187.3789678,185.6782182,185.747442,53790500,182.6539198,175.2847941,0.158197688,0.304085695
11/16/2023,187.5866547,188.8226639,186.5385062,187.4482222,54412900,183.8022417,175.7801905,0.13843243,0.904230242
11/17/2023,187.566864,188.2491435,186.4594046,188.1205937,50922700,184.7967856,176.190003,-0.553729688,-0.010550137
11/20/2023,189.3071289,189.7619868,187.7547095,187.7645921,46505100,186.1076573,176.6084488,1.542536765,0.927810411
11/21/2023,188.5062256,189.3763808,187.616305,189.2676114,38134500,186.7065909,177.0199478,-0.761385856,-0.423070872
11/22/2023,189.1687164,190.7705794,188.6940932,189.3467096,39617700,187.6261815,177.4071172,-0.177993154,0.351442422
11/24/2023,187.8437195,188.763303,187.131777,188.73364,24048300,187.9835641,177.7201655,-0.889920513,-0.700431326
11/27/2023,187.665741,188.5358963,186.785703,187.7942908,40552600,188.2350071,178.0885071,-0.128549784,-0.094748185
11/28/2023,188.2688904,188.9412871,187.2800832,187.6558347,38415400,188.3324694,178.4812332,0.613055654,0.321395589
11/29/2023,187.2504272,189.9399842,186.8549104,188.7633012,43014200,188.2872641,178.8916885,-1.512873911,-0.540961989
11/30/2023,187.8239441,188.1898131,186.0836487,187.7151747,48794400,188.0753806,179.3643829,0.108769407,0.306283331
12/1/2023,189.0995178,189.4159283,187.1120054,188.1996995,45704800,188.1601366,179.8921051,0.899818285,0.679132651
12/4/2023,187.3097534,187.9228242,185.3519193,187.8536004,43389500,187.8945705,180.4450938,-0.543847015,-0.946466932
12/5/2023,191.2551117,192.2241387,188.0513705,188.0810486,66628400,188.3819122,181.1256444,3.174063076,2.106328263
12/6/2023,190.1674194,192.5800965,189.9597633,192.2735686,41089700,188.7392949,181.755455,-2.106149203,-0.568712779
12/7/2023,192.0955963,192.8174214,191.4231995,191.4627603,47477700,189.2859671,182.526564,0.632836062,1.013936502
12/8/2023,193.5194855,193.7963503,191.5023101,192.0263768,53406400,190.1815469,183.4837163,1.493108696,0.741239876
